feature,bin,events,n,non_events,woe,event_rate,iv_contrib
NumberOfTimes90DaysLate,__MISSING__,125,229,104,-2.819077630589879,0.5458515283842795,0.04146401734421492
NumberRealEstateLoansOrLines,0,3747,44985,41238,-0.23773346223673414,0.08329443147715905,0.023495492127652836
NumberRealEstateLoansOrLines,1,2190,41879,39689,0.2609400435367062,0.05229351226151532,0.021241332773631053
NumberRealEstateLoansOrLines,2,1416,25194,23778,0.18457597349224245,0.0562038580614432,0.006605817887946869
NumberRealEstateLoansOrLines,3,668,7942,7274,-0.24892283266201007,0.08410979602115336,0.004570480431344194
NumberOfTime60-89DaysPastDueNotWorse,0,5818,113961,108143,0.28645760889340005,0.05105255306639991,0.06890571766718404
NumberOfTime60-89DaysPastDueNotWorse,1,1408,4526,3118,-1.841132134773156,0.3110914714980115,0.27193242005478246
NumberOfTime60-89DaysPastDueNotWorse,2,445,894,449,-2.627020336422095,0.49776286353467564,0.13531871384323754
NumberOfTime60-89DaysPastDueNotWorse,3,225,390,165,-2.9453079075485213,0.5769230769230769,0.07842476973610783
NumberOfTime60-89DaysPastDueNotWorse,__MISSING__,125,229,104,-2.819077630589879,0.5458515283842795,0.04146401734421492
NumberOfDependents,0,4076,69580,65504,0.14092112202765406,0.05858005173900546,0.010835169366053663
NumberOfDependents,1,1572,21082,19510,-0.1176728708255964,0.07456598045726212,0.002560222411504527
NumberOfDependents,2,1258,15527,14269,-0.20775508668365505,0.08102015843369614,0.006113079104522463
NumberOfDependents,3,973,10651,9678,-0.33919455864955983,0.09135292460801803,0.011838444699659065
NumberOfDependents,__MISSING__,142,3160,3018,0.4172143551048697,0.04493670886075949,0.003836292782894721
util_extreme_flag,0,7976,119703,111727,0.0034306356079193165,0.06663157982673784,1.1722603070563952e-05
util_extreme_flag,1,45,297,252,-0.9224335938143762,0.15151515151515152,0.0031519881780152476
